Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,146,TE,I,14234,280.48,397.28,66.763,151.72,2.16E+06,17.326,2.47E+05,13.896,1.98E+05,1464.9,2.09E+07,23.671,3.37E+05,
121118G6NG_AO1,147,TE,I,8878,212.45,111.68,67.178,218.29,1.94E+06,33.872,3.01E+05,14.653,1.30E+05,1501.8,1.33E+07,46.276,4.11E+05,
121118G6NG_AO1,148,TE,I,8592,249.86,107.33,69.041,222.29,1.91E+06,25.645,2.20E+05,14.908,1.28E+05,1456.7,1.25E+07,33.784,2.90E+05,
121118G6NG_AO1,150,TE,I,14098,364.33,357.1,69.984,264.45,3.73E+06,16.602,2.34E+05,14.485,2.04E+05,1396.9,1.97E+07,28.848,4.07E+05,
121118G6NG_AO1,152,TE,I,13020,227,291.6,73.692,174.88,2.28E+06,17.837,2.32E+05,13.754,1.79E+05,1703.1,2.22E+07,23.838,3.10E+05,
121118G6NG_AO1,154,TE,I,20458,224.46,213.08,75.24,151.18,3.09E+06,20.398,4.17E+05,14.342,2.93E+05,1564.7,3.20E+07,25.994,5.32E+05,
121118G6NG_AO1,155,TE,I,10875,378.38,247.55,71.287,156.13,1.70E+06,15.718,1.71E+05,14.343,1.56E+05,1469.4,1.60E+07,22.108,2.40E+05,
121118G6NG_AO1,156,TE,I,14919,319.18,358.96,75.483,158.89,2.37E+06,13.248,1.98E+05,12.379,1.85E+05,1528.4,2.28E+07,19.23,2.87E+05,
121118G6NG_AO1,157,TE,I,16249,278.53,183.16,76.409,171.48,2.79E+06,18.01,2.93E+05,13.744,2.23E+05,1657,2.69E+07,23.609,3.84E+05,
121118G6NG_AO1,158,TE,I,12828,272.93,318.72,77.745,168.87,2.17E+06,22.272,2.86E+05,14.059,1.80E+05,1624.4,2.08E+07,22.671,2.91E+05,
