Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF4,Fgf4,mosaic,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF5,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,SR
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF6,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF7,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF8,Fgf4,unknown,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF9,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF10,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF11,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,SR
20170414,20170428,041417Xim_F4KO_AF,AF,041417Xim_F4KO_AF12,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,SR
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG1,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG2,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG3,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG4,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG5,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG6,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG7,Fgf4,tbd,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,12,51h,8cell,8-12c,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG8,Fgf4,tbd,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
20170414,20170505,041417Xim_F4KO_AG,AG,041417Xim_F4KO_AG9,Fgf4,tbd,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Gdf9:iCre,Aggregation,NS,
