Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM6,wt,CAG:H2B-GFP,Chimera,8,8,8cell,Double,NS,HG
20170302,20170316,030217Xim_WT_AM,AM,030217Xim_WT_AM7,wt,NA,Control,8,0,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN1,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN2,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN3,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN4,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN5,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN6,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN7,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN8,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN9,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN10,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN11,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN12,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN13,wt,CAG:H2B-GFP,Chimera,2,6,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN14,wt,NA,Control,8,0,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AN,AN,031818Xim_WT_AN15,wt,NA,Control,8,0,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO1,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO2,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO3,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO4,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO5,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO6,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO7,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO8,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO9,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170318,20170324,031818Xim_WT_AO,AO,031818Xim_WT_AO10,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
